hour,day_of_week,month,ride_requests,temperature,humidity,weather_condition,holiday
13,Thursday,December,110,31,39,Cloudy,1
7,Sunday,October,94,23,62,Cloudy,1
14,Monday,March,121,27,57,Snow,1
0,Sunday,July,187,17,75,Clear,1
21,Friday,November,115,21,76,Cloudy,1
5,Friday,December,92,25,58,Clear,0
6,Friday,July,125,30,87,Rain,1
3,Thursday,February,134,24,79,Clear,1
0,Saturday,November,122,29,79,Cloudy,1
8,Thursday,October,110,32,69,Rain,1
3,Sunday,April,167,19,51,Cloudy,0
0,Thursday,June,50,22,52,Snow,0
19,Thursday,March,76,29,83,Rain,0
9,Saturday,February,97,17,67,Cloudy,0
11,Monday,August,87,26,70,Cloudy,1
4,Wednesday,November,111,29,74,Rain,0
14,Saturday,June,64,28,63,Rain,0
20,Friday,August,185,16,53,Snow,0
12,Wednesday,November,100,26,62,Snow,1
9,Tuesday,April,183,30,43,Snow,1
18,Monday,December,120,15,64,Rain,1
3,Saturday,September,72,31,83,Clear,0
10,Sunday,October,128,15,43,Cloudy,1
6,Saturday,July,142,21,37,Snow,0
3,Thursday,June,97,33,31,Rain,1
11,Sunday,May,68,15,35,Snow,0
7,Sunday,April,113,26,65,Snow,1
15,Wednesday,April,148,28,74,Snow,1
2,Thursday,February,106,20,78,Snow,1
0,Monday,August,110,28,63,Cloudy,0
9,Monday,July,197,22,40,Clear,0
21,Saturday,November,139,30,60,Clear,0
11,Monday,September,147,16,77,Cloudy,0
23,Thursday,July,113,20,30,Snow,1
7,Sunday,March,105,27,64,Rain,1
11,Sunday,August,105,28,63,Snow,0
19,Thursday,May,132,33,36,Cloudy,0
9,Saturday,July,144,28,31,Cloudy,0
4,Thursday,January,155,23,39,Snow,1
7,Friday,August,126,15,44,Clear,0
6,Wednesday,February,137,33,55,Clear,1
0,Sunday,October,87,27,66,Snow,0
1,Wednesday,December,115,18,67,Rain,1
22,Thursday,November,123,22,62,Snow,0
6,Monday,February,70,19,89,Clear,1
0,Sunday,January,92,31,61,Cloudy,1
8,Tuesday,October,124,23,77,Clear,0
12,Monday,July,92,20,68,Clear,0
20,Thursday,February,60,32,63,Clear,1
12,Friday,November,73,19,55,Snow,1
16,Wednesday,August,159,15,51,Rain,1
18,Thursday,November,179,29,39,Clear,1
8,Friday,May,124,33,81,Cloudy,1
22,Tuesday,March,101,24,32,Clear,0
16,Tuesday,May,53,27,67,Cloudy,0
12,Thursday,February,63,31,48,Snow,1
9,Wednesday,December,119,30,49,Clear,1
16,Wednesday,May,165,15,67,Rain,0
2,Tuesday,September,122,22,48,Clear,0
13,Monday,May,165,30,56,Rain,1
21,Thursday,October,67,23,79,Clear,1
16,Thursday,February,140,32,79,Clear,1
7,Wednesday,December,53,32,69,Snow,1
0,Saturday,May,166,33,72,Clear,0
6,Saturday,September,77,26,34,Snow,0
7,Friday,February,73,31,89,Clear,1
10,Thursday,March,188,33,84,Cloudy,0
5,Wednesday,October,125,32,51,Snow,1
12,Sunday,January,54,30,81,Snow,1
19,Wednesday,February,143,30,76,Cloudy,0
10,Thursday,September,155,20,31,Clear,1
1,Monday,January,51,25,84,Rain,0
18,Saturday,May,129,26,38,Cloudy,0
14,Saturday,April,197,28,68,Rain,1
15,Thursday,May,179,25,62,Clear,1
10,Wednesday,May,176,20,58,Snow,0
1,Monday,December,116,30,57,Rain,1
